row_identifiers,approved_fdc_food,data_type,distinct_products_found,raw_candidate_count,distinct_products
01010345:PHYT-,WHOLE GRAIN BROWN RICE,branded_food,5,5,"gtin=0017400101459 (x1 duplicate listings, e.g. fdc_id=2526901) [Energy=357.0; Protein=7.14; Carbohydrate, by difference=76.19; Fiber, total dietary=2.4; Total Sugars=0.0; Iron, Fe=3.43]  ///  gtin=0054800423590 (x1 duplicate listings, e.g. fdc_id=2547322) [Energy=356.0; Protein=8.89; Carbohydrate, by difference=75.56; Fiber, total dietary=2.2; Total Sugars=0.0; Iron, Fe=0.67]  ///  gtin=0054800423606 (x1 duplicate listings, e.g. fdc_id=2547323) [Energy=356.0; Protein=8.89; Carbohydrate, by difference=75.56; Fiber, total dietary=2.2; Total Sugars=0.0; Iron, Fe=0.67]  ///  gtin=0054800423637 (x1 duplicate listings, e.g. fdc_id=2547326) [Energy=356.0; Protein=8.89; Carbohydrate, by difference=75.56; Fiber, total dietary=2.2; Total Sugars=0.0; Iron, Fe=0.67]  ///  gtin=0054800425242 (x1 duplicate listings, e.g. fdc_id=2551594) [Energy=356.0; Protein=6.67; Carbohydrate, by difference=77.78; Fiber, total dietary=2.2; Total Sugars=0.0; Iron, Fe=1.33]"
01020009:IP6,"The Kellogg Company KELLOGG'S, FROSTED FLAKES, FROSTED CORN FLAKE CEREAL",branded_food,3,5,"gtin=038000596742 (x1 duplicate listings, e.g. fdc_id=662240) [Energy=367.0; Protein=6.67; Carbohydrate, by difference=86.67; Fiber, total dietary=10.0; Total Sugars=23.33; Iron, Fe=15.0]  ///  gtin=038000596742 (x1 duplicate listings, e.g. fdc_id=861324) [Energy=367.0; Protein=6.67; Carbohydrate, by difference=86.67; Fiber, total dietary=10.0; Total Sugars=23.33; Iron, Fe=?]  ///  gtin=038000907722 (x3 duplicate listings, e.g. fdc_id=1157981) [Energy=367.0; Protein=5.0; Carbohydrate, by difference=88.33; Fiber, total dietary=1.7; Total Sugars=35.0; Iron, Fe=15.0]"
01030048:PHYTC-,"Supervalu, Inc. WHEAT BREAD",branded_food,8,25,"gtin=041163970557 (x2 duplicate listings, e.g. fdc_id=470974) [Energy=267.0; Protein=10.0; Carbohydrate, by difference=50.0; Fiber, total dietary=3.3; Total Sugars=6.67; Iron, Fe=2.4]  ///  gtin=045674340175 (x4 duplicate listings, e.g. fdc_id=471190) [Energy=286.0; Protein=7.14; Carbohydrate, by difference=46.43; Fiber, total dietary=3.6; Total Sugars=7.14; Iron, Fe=2.57]  ///  gtin=041163970106 (x2 duplicate listings, e.g. fdc_id=524727) [Energy=269.0; Protein=7.69; Carbohydrate, by difference=50.0; Fiber, total dietary=3.8; Total Sugars=3.85; Iron, Fe=2.77]  ///  gtin=041303027844 (x4 duplicate listings, e.g. fdc_id=524921) [Energy=258.0; Protein=9.68; Carbohydrate, by difference=48.39; Fiber, total dietary=3.2; Total Sugars=3.23; Iron, Fe=3.23]  ///  gtin=041130026676 (x4 duplicate listings, e.g. fdc_id=526008) [Energy=258.0; Protein=9.68; Carbohydrate, by difference=48.39; Fiber, total dietary=3.2; Total Sugars=3.23; Iron, Fe=2.32]  ///  gtin=041130076374 (x4 duplicate listings, e.g. fdc_id=528253) [Energy=250.0; Protein=10.71; Carbohydrate, by difference=50.0; Fiber, total dietary=3.6; Total Sugars=7.14; Iron, Fe=2.57]  ///  gtin=075090904699 (x4 duplicate listings, e.g. fdc_id=528792) [Energy=269.0; Protein=7.69; Carbohydrate, by difference=50.0; Fiber, total dietary=3.8; Total Sugars=3.85; Iron, Fe=2.77]  ///  gtin=041303027844 (x1 duplicate listings, e.g. fdc_id=2474858) [Energy=258.0; Protein=9.68; Carbohydrate, by difference=48.39; Fiber, total dietary=3.2; Total Sugars=3.23; Iron, Fe=3.23]"
01030187:IP6 | 01030192:IP6,Thomas Brothers Ham Company WHEAT FLOUR,branded_food,3,5,"gtin=074854355555 (x3 duplicate listings, e.g. fdc_id=1807783) [Energy=345.0; Protein=11.8; Carbohydrate, by difference=70.7; Fiber, total dietary=2.6; Total Sugars=1.4; Iron, Fe=?]  ///  gtin=074854355531 (x1 duplicate listings, e.g. fdc_id=1819480) [Energy=344.0; Protein=11.5; Carbohydrate, by difference=70.6; Fiber, total dietary=2.5; Total Sugars=3.4; Iron, Fe=?]  ///  gtin=074854355555 (x1 duplicate listings, e.g. fdc_id=1942586) [Energy=345.0; Protein=11.8; Carbohydrate, by difference=70.7; Fiber, total dietary=2.6; Total Sugars=1.4; Iron, Fe=?]"
01030188:PHYTC-,PZZ KRAKOW WHEAT FLOUR,branded_food,2,2,"gtin=074854355555 (x1 duplicate listings, e.g. fdc_id=567626) [Energy=345.0; Protein=11.8; Carbohydrate, by difference=70.7; Fiber, total dietary=2.6; Total Sugars=1.4; Iron, Fe=?]  ///  gtin=074854355531 (x1 duplicate listings, e.g. fdc_id=603948) [Energy=344.0; Protein=11.5; Carbohydrate, by difference=70.6; Fiber, total dietary=2.5; Total Sugars=3.4; Iron, Fe=?]"
01060150:IP4 | 01060150:IP5 | 01060150:IP6 | 01060151:IP4 | 01060151:IP5 | 01060151:IP6 | 01060155:IP4 | 01060155:IP5 | 01060155:IP6 | 01060158:IP5 | 01060158:IP6 | 01060159:IP5 | 01060159:IP6 | 01060162:IP4 | 01060162:IP5 | 01060162:IP6,FAMILIA SWISS MUESLI,branded_food,2,2,"gtin=072762012140 (x1 duplicate listings, e.g. fdc_id=377192) [Energy=368.0; Protein=10.53; Carbohydrate, by difference=71.93; Fiber, total dietary=7.0; Total Sugars=12.28; Iron, Fe=4.74]  ///  gtin=07276201216 (x1 duplicate listings, e.g. fdc_id=561999) [Energy=386.0; Protein=10.53; Carbohydrate, by difference=68.42; Fiber, total dietary=8.8; Total Sugars=22.81; Iron, Fe=3.16]"
01060160:IP4 | 01060160:IP5 | 01060160:IP6 | 01060161:IP5 | 01060161:IP6,"FAMILIA FAMILIA, SWISS MUESLI",branded_food,2,2,"gtin=813730010047 (x1 duplicate listings, e.g. fdc_id=369598) [Energy=368.0; Protein=10.53; Carbohydrate, by difference=71.93; Fiber, total dietary=7.0; Total Sugars=12.28; Iron, Fe=4.74]  ///  gtin=813730010030 (x1 duplicate listings, e.g. fdc_id=369604) [Energy=386.0; Protein=10.53; Carbohydrate, by difference=68.42; Fiber, total dietary=8.8; Total Sugars=22.81; Iron, Fe=3.16]"
01060163:PHYTC-,FREEDOM FOODS TOASTED MUESLI,branded_food,2,2,"gtin=854995003436 (x1 duplicate listings, e.g. fdc_id=548752) [Energy=375.0; Protein=10.94; Carbohydrate, by difference=48.44; Fiber, total dietary=25.0; Total Sugars=14.06; Iron, Fe=2.66]  ///  gtin=854995003443 (x1 duplicate listings, e.g. fdc_id=549080) [Energy=381.0; Protein=12.7; Carbohydrate, by difference=46.03; Fiber, total dietary=27.0; Total Sugars=12.7; Iron, Fe=2.7]"
03010051:PHYTC-,GREAT NORTHERN BEANS,branded_food,2,3,"gtin=0710069052208 (x1 duplicate listings, e.g. fdc_id=2552790) [Energy=216.0; Protein=19.61; Carbohydrate, by difference=60.78; Fiber, total dietary=39.2; Total Sugars=0.0; Iron, Fe=4.51]  ///  gtin=075450011470 (x2 duplicate listings, e.g. fdc_id=2603323) [Energy=85.0; Protein=4.62; Carbohydrate, by difference=18.46; Fiber, total dietary=5.4; Total Sugars=0.77; Iron, Fe=0.83]"
03010124:IP4 | 03010124:IP5 | 03010124:IP6 | 03010124:IPSUM | 03010437:PHYTCPP,"BLACK BEANS, BLACK",branded_food,2,2,"gtin=057690000438 (x1 duplicate listings, e.g. fdc_id=2653915) [Energy=92.0; Protein=6.15; Carbohydrate, by difference=16.92; Fiber, total dietary=6.9; Total Sugars=0.0; Iron, Fe=1.54]  ///  gtin=0001111012212 (x1 duplicate listings, e.g. fdc_id=2668041) [Energy=85.0; Protein=5.38; Carbohydrate, by difference=15.38; Fiber, total dietary=3.8; Total Sugars=0.77; Iron, Fe=1.23]"
03010131:IP4 | 03010131:IP5 | 03010131:IP6 | 03010131:IPSUM | 03010132:IP5 | 03010132:IP6 | 03010132:IPSUM | 03010133:IP5_A_IP6,HTY BROAD BEAN,branded_food,3,3,"gtin=819316020127 (x1 duplicate listings, e.g. fdc_id=572165) [Energy=467.0; Protein=23.33; Carbohydrate, by difference=50.0; Fiber, total dietary=10.0; Total Sugars=0.0; Iron, Fe=3.0]  ///  gtin=819316020141 (x1 duplicate listings, e.g. fdc_id=572170) [Energy=467.0; Protein=23.33; Carbohydrate, by difference=50.0; Fiber, total dietary=10.0; Total Sugars=3.33; Iron, Fe=3.47]  ///  gtin=819316020134 (x1 duplicate listings, e.g. fdc_id=572174) [Energy=467.0; Protein=23.33; Carbohydrate, by difference=46.67; Fiber, total dietary=10.0; Total Sugars=3.33; Iron, Fe=3.9]"
03010216:PHYT-,Harmons Inc DARK RED KIDNEY BEANS,branded_food,2,7,"gtin=019646004907 (x3 duplicate listings, e.g. fdc_id=458670) [Energy=85.0; Protein=5.38; Carbohydrate, by difference=16.15; Fiber, total dietary=6.2; Total Sugars=2.31; Iron, Fe=2.08]  ///  gtin=019646004914 (x4 duplicate listings, e.g. fdc_id=458681) [Energy=85.0; Protein=5.38; Carbohydrate, by difference=14.62; Fiber, total dietary=6.2; Total Sugars=0.77; Iron, Fe=2.08]"
03010511:PHYTC- | 03010511:PP- | 03010512:PHYTC- | 03010512:PP- | 03010513:PHYTC- | 03010513:PP-,STATER BROS. LIMA BEANS,branded_food,2,2,"gtin=074175681111 (x1 duplicate listings, e.g. fdc_id=561575) [Energy=37.0; Protein=1.24; Carbohydrate, by difference=7.05; Fiber, total dietary=1.2; Total Sugars=0.41; Iron, Fe=0.41]  ///  gtin=074175681067 (x1 duplicate listings, e.g. fdc_id=590151) [Energy=72.0; Protein=2.4; Carbohydrate, by difference=13.6; Fiber, total dietary=2.4; Total Sugars=0.8; Iron, Fe=0.8]"
06010131:IP6 | 06010132:IP6 | 06010133:IP6,"Meijer, Inc. BLANCHED PEANUTS",branded_food,4,6,"gtin=886926197884 (x2 duplicate listings, e.g. fdc_id=1478025) [Energy=567.0; Protein=26.67; Carbohydrate, by difference=20.0; Fiber, total dietary=10.0; Total Sugars=3.33; Iron, Fe=1.2]  ///  gtin=713733444873 (x2 duplicate listings, e.g. fdc_id=1499330) [Energy=607.0; Protein=28.57; Carbohydrate, by difference=14.29; Fiber, total dietary=10.7; Total Sugars=3.57; Iron, Fe=1.29]  ///  gtin=713733444873 (x1 duplicate listings, e.g. fdc_id=2627183) [Energy=607.0; Protein=28.57; Carbohydrate, by difference=14.29; Fiber, total dietary=10.7; Total Sugars=3.57; Iron, Fe=1.29]  ///  gtin=886926197884 (x1 duplicate listings, e.g. fdc_id=2640956) [Energy=567.0; Protein=26.67; Carbohydrate, by difference=20.0; Fiber, total dietary=10.0; Total Sugars=3.33; Iron, Fe=1.2]"
06010182:PHYTC- | 06010183:PHYTCPP,"Meijer, Inc. RAW WALNUTS",branded_food,3,5,"gtin=713733444682 (x2 duplicate listings, e.g. fdc_id=393936) [Energy=647.0; Protein=14.71; Carbohydrate, by difference=14.71; Fiber, total dietary=5.9; Total Sugars=2.94; Iron, Fe=3.18]  ///  gtin=713733444705 (x1 duplicate listings, e.g. fdc_id=393937) [Energy=667.0; Protein=16.67; Carbohydrate, by difference=13.33; Fiber, total dietary=6.7; Total Sugars=3.33; Iron, Fe=2.4]  ///  gtin=708820008274 (x2 duplicate listings, e.g. fdc_id=661326) [Energy=647.0; Protein=14.71; Carbohydrate, by difference=14.71; Fiber, total dietary=5.9; Total Sugars=2.94; Iron, Fe=3.18]"
14030005:PHYTC-,San Franola GRANOLA,branded_food,2,6,"gtin=852647003223 (x3 duplicate listings, e.g. fdc_id=453631) [Energy=341.0; Protein=22.73; Carbohydrate, by difference=45.45; Fiber, total dietary=13.6; Total Sugars=13.64; Iron, Fe=3.27]  ///  gtin=852647003230 (x3 duplicate listings, e.g. fdc_id=453632) [Energy=364.0; Protein=22.73; Carbohydrate, by difference=43.18; Fiber, total dietary=13.6; Total Sugars=11.36; Iron, Fe=3.27]"
