row_identifier,reason,approved_fdc_food,data_type,detail
01010345:PHYT-,duplicate,WHOLE GRAIN BROWN RICE,branded_food,"5 Food rows match, no override supplied: food_id=1270425:fdc_id=2526901, food_id=1284829:fdc_id=2547322, food_id=1284830:fdc_id=2547323, food_id=1284833:fdc_id=2547326, food_id=1288163:fdc_id=2551594"
01020009:IP6,duplicate,"The Kellogg Company KELLOGG'S, FROSTED FLAKES, FROSTED CORN FLAKE CEREAL",branded_food,"5 Food rows match, no override supplied: food_id=242182:fdc_id=662240, food_id=309033:fdc_id=861324, food_id=417895:fdc_id=1157981, food_id=703726:fdc_id=1625390, food_id=1012629:fdc_id=2107423"
01030048:PHYTC-,duplicate,"Supervalu, Inc. WHEAT BREAD",branded_food,"25 Food rows match, no override supplied: food_id=125470:fdc_id=470974, food_id=125664:fdc_id=471190, food_id=163456:fdc_id=524727, food_id=163600:fdc_id=524921, food_id=164421:fdc_id=526008, food_id=166120:fdc_id=528253, food_id=166523:fdc_id=528792, food_id=490280:fdc_id=1272611, food_id=490447:fdc_id=1272814, food_id=519335:fdc_id=1321180, food_id=519450:fdc_id=1321355, food_id=520135:fdc_id=1322390, food_id=521548:fdc_id=1324510, food_id=521889:fdc_id=1325021, food_id=661300:fdc_id=1564903, food_id=695056:fdc_id=1613490, food_id=695847:fdc_id=1614526, food_id=697454:fdc_id=1616647, food_id=697835:fdc_id=1617157, food_id=986916:fdc_id=2070777, food_id=1007232:fdc_id=2099768, food_id=1007770:fdc_id=2100522, food_id=1008839:fdc_id=2102028, food_id=1009104:fdc_id=2102393, food_id=1233204:fdc_id=2474858"
01030187:IP6,duplicate,Thomas Brothers Ham Company WHEAT FLOUR,branded_food,"5 Food rows match, no override supplied: food_id=827664:fdc_id=1807783, food_id=835543:fdc_id=1819480, food_id=898348:fdc_id=1942586, food_id=1131793:fdc_id=2315233, food_id=1198961:fdc_id=2432946"
01030188:PHYTC-,duplicate,PZZ KRAKOW WHEAT FLOUR,branded_food,"2 Food rows match, no override supplied: food_id=194007:fdc_id=567626, food_id=220362:fdc_id=603948"
01030192:IP6,duplicate,Thomas Brothers Ham Company WHEAT FLOUR,branded_food,"5 Food rows match, no override supplied: food_id=827664:fdc_id=1807783, food_id=835543:fdc_id=1819480, food_id=898348:fdc_id=1942586, food_id=1131793:fdc_id=2315233, food_id=1198961:fdc_id=2432946"
01060150:IP4,duplicate,FAMILIA SWISS MUESLI,branded_food,"2 Food rows match, no override supplied: food_id=58186:fdc_id=377192, food_id=190070:fdc_id=561999"
01060150:IP5,duplicate,FAMILIA SWISS MUESLI,branded_food,"2 Food rows match, no override supplied: food_id=58186:fdc_id=377192, food_id=190070:fdc_id=561999"
01060150:IP6,duplicate,FAMILIA SWISS MUESLI,branded_food,"2 Food rows match, no override supplied: food_id=58186:fdc_id=377192, food_id=190070:fdc_id=561999"
01060151:IP4,duplicate,FAMILIA SWISS MUESLI,branded_food,"2 Food rows match, no override supplied: food_id=58186:fdc_id=377192, food_id=190070:fdc_id=561999"
